epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,76.7352,1.57131,0.80245,1.02225,0.19535,0.48651,0.19089,0.07315,2.07065,3.30282,1.01989,0.000996313,0.000996313,0.000996313
43,78.3286,1.60298,0.87686,0.98771,0.21538,0.41312,0.19964,0.07366,2.1323,2.78771,1.05382,0.000990125,0.000990125,0.000990125
44,79.9688,1.54338,0.85066,0.97185,0.16393,0.39301,0.19959,0.07359,2.13616,2.69634,1.0454,0.000983938,0.000983938,0.000983938
45,81.5545,1.55926,0.84075,1.01498,0.10617,0.90406,0.18049,0.06695,2.11537,2.9259,1.04235,0.00097775,0.00097775,0.00097775
46,83.1635,1.52589,0.75617,0.98625,0.11649,0.8948,0.19901,0.07184,2.14789,2.76714,1.04807,0.000971562,0.000971562,0.000971562
47,84.7569,1.55605,0.8372,0.96175,0.18793,0.34151,0.18392,0.0683,2.14724,2.62076,1.04612,0.000965375,0.000965375,0.000965375
48,86.444,1.53552,0.76111,0.95811,0.19136,0.3906,0.20432,0.07645,2.17892,2.44689,1.06051,0.000959187,0.000959187,0.000959187
49,88.0999,1.59727,0.77657,0.99958,0.26373,0.28309,0.23775,0.08998,2.14824,2.34735,1.06176,0.000953,0.000953,0.000953
50,89.6932,1.51881,0.79351,0.98012,0.21846,0.44964,0.27002,0.10067,2.20478,2.27431,1.07707,0.000946812,0.000946812,0.000946812
51,91.3138,1.52336,0.74629,0.98057,0.25848,0.49196,0.33334,0.1213,2.14811,2.04974,1.05405,0.000940625,0.000940625,0.000940625
52,93.0009,1.53571,0.75892,0.98428,0.2251,0.45164,0.30103,0.11312,2.08411,2.18801,1.0375,0.000934438,0.000934438,0.000934438
53,94.5787,1.47769,0.73285,0.98272,0.23697,0.47228,0.27784,0.09966,2.15608,2.28517,1.05111,0.00092825,0.00092825,0.00092825
54,96.2346,1.46446,0.75429,0.94721,0.22395,0.40327,0.26177,0.09335,2.28246,2.22982,1.06056,0.000922063,0.000922063,0.000922063
55,97.8338,1.48789,0.74141,0.956,0.19641,0.32309,0.21584,0.08119,2.13119,2.50216,1.04029,0.000915875,0.000915875,0.000915875
56,99.4283,1.41091,0.70937,0.95251,0.23085,0.37952,0.2042,0.07463,2.21301,2.40407,1.05366,0.000909688,0.000909688,0.000909688
